f    Sigma
95525525.52552553    1.3060092596446262
96416416.4164164    1.3360201395476985
97307307.3073073    1.365616656352712
98198198.1981982    1.3947420313479335
99089089.08908908    1.4233398514402464
99979979.97997998    1.4513543205680577
100870870.87087087    1.4787305108898146
101761761.76176175    1.5054146114325955
102652652.65265265    1.5313541718784476
103543543.54354353    1.5564983391963558
104434434.43443443    1.5807980848953567
105325325.32532533    1.604206420777881
106216216.2162162    1.6266786012107055
107107107.1071071    1.6481723101009935
107997997.997998    1.66864783096328
108888888.88888888    1.6880681986862132
109779779.77977978    1.7063993318503026
110670670.67067067    1.7236101447051
111561561.56156155    1.7396726381806003
112452452.45245245    1.7545619695780201
113343343.34334333    1.7682565008537463
114234234.23423423    1.7807378256723885
115125125.12512513    1.7919907756553897
116016016.016016    1.8020034064862638
116906906.9069069    1.8107669647485904
117797797.7977978    1.8182758365649845
118688688.68868868    1.8245274792722084
119579579.57957958    1.8295223375074123
120470470.47047046    1.8332637451923666
121361361.36136135    1.8357578149860185
122252252.25225225    1.8370133168311031
123143143.14314313    1.8370415472489718
124034034.03403403    1.83585619103944
124924924.92492492    1.8334731770213677
125815815.8158158    1.8299105294070954
126706706.7067067    1.8251882163421722
127597597.5975976    1.819327997063781
128488488.48848848    1.8123532690395467
129379379.37937938    1.804288916345971
130270270.27027026    1.7951611604349411
131161161.16116115    1.784997414320582
132052052.05205205    1.773826141099311
132942942.94294293    1.7616767175956112
133833833.83383383    1.7485793038068083
134724724.7247247    1.7345647187037383
135615615.6156156    1.7196643228319228
136506506.5065065    1.703909908051397
137397397.3973974    1.6873335946530403
138288288.2882883    1.6699677359964507
139179179.1791792    1.6518448307291422
140070070.07007006    1.6329974425697555
140960960.96096095    1.6134581275689668
141851851.85185185    1.5932593687009662
142742742.74274272    1.5724335175854909
143633633.6336336    1.5510127430952192
144524524.5245245    1.5290289865655051
145415415.4154154    1.506513923292414
146306306.3063063    1.4834989299804078
147197197.1971972    1.460015057782388
148088088.0880881    1.4360930105613146
148978978.97897896    1.4117631279940155
149869869.86986986    1.3870553731334745
150760760.76076075    1.3619993240451445
151651651.65165165    1.3366241691354288
152542542.54254255    1.310958705795756
153433433.4334334    1.285031341993249
154324324.3243243    1.2588701004485219
155215215.2152152    1.2325026250521074
156106106.1061061    1.2059561891832924
156996996.996997    1.1792577056082063
157887887.8878879    1.152433737647898
158778778.77877876    1.1255105113212163
159669669.66966966    1.098513928181901
160560560.56056055    1.0714695785837987
161451451.45145145    1.044402755122634
162342342.34234235    1.0173384660172373
163233233.2332332    0.9903014482072777
164124124.1241241    0.9633161799585396
165015015.015015    0.936406892780474
165905905.9059059    0.9095975824741113
166796796.7967968    0.8829120191415321
167687687.6876877    0.8563737560009227
168578578.57857856    0.8300061368637942
169469469.46946946    0.803832302143271
170360360.36036035    0.777875193274541
171251251.25125125    0.7521575554405673
172142142.14214215    0.7267019385080974
173033033.033033    0.701530696090871
173923923.9239239    0.676665982668841
174814814.8148148    0.6521297487041503
175705705.7057057    0.6279437337066018
176596596.5965966    0.604129457213557
177487487.48748747    0.5807082076614623
178378378.37837836    0.5577010291387107
179269269.26926926    0.5351287060222667
180160160.16016015    0.5130117455132969
181051051.05105105    0.49137035810027374
181941941.94194195    0.47022443599120056
182832832.8328328    0.44959352957016996
183723723.7237237    0.4294968219470279
184614614.6146146    0.40995310168267124
185505505.5055055    0.3909807337861955
186396396.3963964    0.3725976290939012
187287287.28728727    0.3548212121537317
188178178.17817816    0.33766838775217617
189069069.06906906    0.321155506233775
189959959.95995995    0.3052983277761138
190850850.85085085    0.29011198579540814
191741741.74174175    0.27561094966935384
192632632.6326326    0.2618089869747483
193523523.5235235    0.24871912544729327
194414414.4144144    0.23635361487991174
195305305.3053053    0.22472388918363825
196196196.1961962    0.21384052884160842
197087087.08708706    0.20371322399173195
197977977.97797796    0.19435073837716035
198868868.86886886    0.18576087440556488
199759759.75975975    0.177950439558435
200650650.65065065    0.17092521438996322
